seed,bad_source_gamma,method,normalized_performance,target_performance,oracle_performance,bad_source_weight,actual_bad_source_gamma,bad_source_mixing_coefficient,bad_source_nominal_transfer_performance,bad_source_local_gamma_max,bad_source_local_gamma_mean,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_type,prescribed_source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,uniform_weight,similarity_weight
6,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,0.9,0.9,0.9,0.84513780349187,0.25,0.057143197277965664
6,1.2,Uniform,0.996584181984053,15.694979888275334,15.74877483709297,0.25,1.2,0.5999999999999999,14.642199211069926,1.2,1.1683041004141215,state_action_local,1,inf,1,0.01,,,,,,,,
6,1.2,Similarity-aware,0.9974760386414406,15.709025537959496,15.74877483709297,0.04347853497099396,1.2,0.5999999999999999,14.642199211069926,1.2,1.1683041004141215,state_action_local,1,inf,1,0.01,,,,,,,,
6,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09381259661675999,0.25,0.5217376370609066
6,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.2,0.2,0.18643127368957113,0.25,0.26087012286802425
6,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2745328473814595,0.25,0.1739137051000754
6,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.2,1.2,1.2,1.1683041004141215,0.25,0.04347853497099396
6,1.5,Uniform,0.9962724132794408,15.690069913145146,15.74877483709297,0.25,1.5,0.7499999999999999,13.411904260138721,1.5,1.4016316446447523,state_action_local,1,inf,1,0.01,,,,,,,,
6,1.5,Similarity-aware,0.9965314755284516,15.694149826173607,15.74877483709297,0.03508794808610418,1.5,0.7499999999999999,13.411904260138721,1.5,1.4016316446447523,state_action_local,1,inf,1,0.01,,,,,,,,
6,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09381259661675999,0.25,0.5263143090279532
6,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.2,0.2,0.18643127368957113,0.25,0.26315847029317024
6,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2745328473814595,0.25,0.17543927259277253
6,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.5,1.5,1.5,1.4016316446447523,0.25,0.03508794808610418
6,1.8,Uniform,0.9897669557816628,15.587616927800362,15.74877483709297,0.25,1.8,0.8999999999999998,12.717502890020166,1.8,1.6807295233189605,state_action_local,1,inf,1,0.01,,,,,,,,
6,1.8,Similarity-aware,0.9965314755284516,15.694149826173607,15.74877483709297,0.029411960783929263,1.8,0.8999999999999998,12.717502890020166,1.8,1.6807295233189605,state_action_local,1,inf,1,0.01,,,,,,,,
6,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09381259661675999,0.25,0.5294102941273933
6,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.2,0.2,0.18643127368957113,0.25,0.2647064705828143
6,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2745328473814595,0.25,0.1764712745058632
6,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.8,1.8,1.8,1.6807295233189605,0.25,0.029411960783929263
7,0.9,Uniform,0.9946221303663176,15.91612340698051,16.002181050524815,0.25,0.9,0.4499999999999999,15.48756547207665,0.9,0.8541887161637773,state_action_local,1,inf,1,0.01,,,,,,,,
7,0.9,Similarity-aware,0.9960284653502038,15.938627834010344,16.002181050524815,0.057143197277965664,0.9,0.4499999999999999,15.48756547207665,0.9,0.8541887161637773,state_action_local,1,inf,1,0.01,,,,,,,,
7,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09360277128093039,0.25,0.5142842040916229
7,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18836734946442035,0.25,0.25714338774989315
7,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3000000000000001,0.3000000000000001,0.27925928201670636,0.25,0.17142921088051835
7,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,0.9,0.9,0.9,0.8541887161637773,0.25,0.057143197277965664
7,1.2,Uniform,0.9887106650137927,15.8215270681355,16.002181050524815,0.25,1.2,0.5999999999999999,15.298603778372616,1.2,1.123430372791538,state_action_local,1,inf,1,0.01,,,,,,,,
7,1.2,Similarity-aware,0.99504675006566,15.922918248287006,16.002181050524815,0.04347853497099396,1.2,0.5999999999999999,15.298603778372616,1.2,1.123430372791538,state_action_local,1,inf,1,0.01,,,,,,,,
7,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09360277128093039,0.25,0.5217376370609066
7,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18836734946442035,0.25,0.26087012286802425
7,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3000000000000001,0.3000000000000001,0.27925928201670636,0.25,0.1739137051000754
7,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.2,1.2,1.2,1.123430372791538,0.25,0.04347853497099396
7,1.5,Uniform,0.9938099301836405,15.90312643260804,16.002181050524815,0.25,1.5,0.7499999999999999,15.279934409516391,1.5,1.428234101097497,state_action_local,1,inf,1,0.01,,,,,,,,
7,1.5,Similarity-aware,0.99504675006566,15.922918248287006,16.002181050524815,0.03508794808610418,1.5,0.7499999999999999,15.279934409516391,1.5,1.428234101097497,state_action_local,1,inf,1,0.01,,,,,,,,
7,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09360277128093039,0.25,0.5263143090279532
7,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18836734946442035,0.25,0.26315847029317024
7,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3000000000000001,0.3000000000000001,0.27925928201670636,0.25,0.17543927259277253
7,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.5,1.5,1.5,1.428234101097497,0.25,0.03508794808610418
7,1.8,Uniform,0.9887106650137927,15.8215270681355,16.002181050524815,0.25,1.7999999999999998,0.8999999999999998,15.022829248986143,1.7999999999999998,1.6579560431502351,state_action_local,1,inf,1,0.01,,,,,,,,
7,1.8,Similarity-aware,0.99504675006566,15.922918248287006,16.002181050524815,0.029411960783929263,1.7999999999999998,0.8999999999999998,15.022829248986143,1.7999999999999998,1.6579560431502351,state_action_local,1,inf,1,0.01,,,,,,,,
7,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09360277128093039,0.25,0.5294102941273933
7,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18836734946442035,0.25,0.2647064705828143
7,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3000000000000001,0.3000000000000001,0.27925928201670636,0.25,0.1764712745058632
7,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.8,1.7999999999999998,1.7999999999999998,1.6579560431502351,0.25,0.029411960783929263
8,0.9,Uniform,0.9906160668971842,15.54046797171318,15.687680112426566,0.25,0.9,0.4499999999999999,14.163420506134448,0.9,0.8532620772156833,state_action_local,1,inf,1,0.01,,,,,,,,
8,0.9,Similarity-aware,0.9930220137978543,15.578211697058377,15.687680112426566,0.057143197277965664,0.9,0.4499999999999999,14.163420506134448,0.9,0.8532620772156833,state_action_local,1,inf,1,0.01,,,,,,,,
8,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09601163598404727,0.25,0.5142842040916229
8,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18691275055311482,0.25,0.25714338774989315
8,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3,0.3,0.2841500784606725,0.25,0.17142921088051835
8,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,0.9,0.9,0.9,0.8532620772156833,0.25,0.057143197277965664
8,1.2,Uniform,0.9880038493969769,15.499488339185847,15.687680112426566,0.25,1.2,0.5999999999999999,13.751956070717856,1.2,1.1447700517406052,state_action_local,1,inf,1,0.01,,,,,,,,
8,1.2,Similarity-aware,0.9992863041765524,15.676483880650744,15.687680112426566,0.04347853497099396,1.2,0.5999999999999999,13.751956070717856,1.2,1.1447700517406052,state_action_local,1,inf,1,0.01,,,,,,,,
8,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09601163598404727,0.25,0.5217376370609066
8,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18691275055311482,0.25,0.26087012286802425
8,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3,0.3,0.2841500784606725,0.25,0.1739137051000754
